order_id,order_date,sku_id,product_name,final_ak_price,units_sold,quantity,customer_id,placed_gmv
137082,2022-05-21 00:43:23,60ee9b609b,Nivea Men Fresh Active Deodorant 150ml,110.01,18,1,64307,1980.18
137082,2022-05-21 00:43:23,60dece183e,Vaseline Total Moisture Aloe Fresh Body Lotion 100ml,94,15,1,64307,1410
137082,2022-05-21 00:43:23,6163d80e51,Lizol Disinfectant Cleaner Citrus 500ml,86.5,18,1,64307,1557
137082,2022-05-21 00:43:23,6177890d90,Surf Excel Easy Wash Detergent Powder 80g,8.59,120,1,64307,1030.8
137082,2022-05-21 00:43:23,60ee9b609b,Nivea Men Fresh Active Deodorant 150ml,110.01,12,1,64307,1320.12
151917,2022-06-08 11:57:22,61c70ff0ab,Harpic Disinfectant Toilet Cleaner 1L,170.18,12,1,33197,2042.16
151917,2022-06-08 11:57:22,616cfed6f7,Colgate Herbal Toothpaste 100g,62.5,18,1,33197,1125
151917,2022-06-08 11:57:22,6098c055c7,Dabur Red Paste 200g,94.1,24,1,33197,2258.4
163715,2022-06-22 20:36:50,724050edd6,Tresemme Keratin Smooth Shampoo 1L,467.1,3,1,86065,1401.3
132229,2022-05-14 22:06:28,6047406f63,Nycil Germ Expert Prickly Heat Powder Cool Gulabjal 150g + Nycil Cool Herbal 50g,95.47,36,1,72393,3436.92
132229,2022-05-14 22:06:28,60686eeef8,Dermi Cool Prickly Heat Powder 150g + Dettol Cool Menthol 125g Free,92.88,24,1,72393,2229.12
132229,2022-05-14 22:06:28,607d7cc186,Pond's Pure Detox Anti-Pollution Purity Facewash 100g,161.03,12,1,72393,1932.36
132229,2022-05-14 22:06:28,605dca3f34,Nycil Germ Expert Prickly Heat Powder Cool Herbal 150g + Nycil Cool Herbal 50g,95.47,30,1,72393,2864.1
132229,2022-05-14 22:06:28,619f2e47e1,Clinic Plus Strong & Long Sachet 960U X 6ml,714,1,1,72393,714
162802,2022-06-21 18:46:57,5f81c9fb89,Head & Shoulders Anti Dandruff Shampoo Smooth & Silky 180ml,127.6,18,2,5521,4593.6
162802,2022-06-21 18:46:57,60c7654a27,Brooke Bond Red Label Tea 1kg,399,18,1,5521,7182
162802,2022-06-21 18:46:57,61fe7088a7,Tresemme Keratin Smooth Shampoo 340ml,243,15,2,5521,7290
162802,2022-06-21 18:46:57,6163e1f4fe,Quaker Oats 400g,64.26,24,2,5521,3084.48
153249,2022-06-09 20:28:38,60c49a7b27,Parle Mango Bite Candy 195g,36,12,1,121355,432
153249,2022-06-09 20:28:38,5f84535c89,Parle Mazelo Assorted Toffee 198g,36,12,1,121355,432
157295,2022-06-14 22:45:49,619f2e47e1,Clinic Plus Strong & Long Sachet 960X6ml,712,1,5,117974,3560
154934,2022-06-11 17:42:13,625030fb9b,Horlicks Chocolate Delight Health & Nutrition Drink 1kg,339,12,1,45345,4068
125862,2022-05-07 16:49:10,6031046489,"Whisper Sanitary Pads - Ultra Clean XL+ , 7 Pads",64.26,18,1,376,1156.68
120405,2022-05-06 15:22:36,6037889ff5,Colgate Toothpaste Strong Teeth Dental Cream 18g,8.85,24,1,104806,212.4
120405,2022-05-06 15:22:36,5fad9ff3c2,Colgate Strong Teeth Dental Cream Toothpaste 42g,18.74,12,1,104806,224.88
120405,2022-05-06 15:22:36,61fcd069a7,Dabur Amla Hair Oil 45ml + 25ml Free,17.08,18,1,104806,307.44
120405,2022-05-06 15:22:36,615706e23e,Dabur Red Paste 18g,8.36,24,1,104806,200.64
120405,2022-05-06 15:22:36,619f2e47e1,Clinic Plus Strong & Long Sachet 960U X 6ml,714,1,1,104806,714
120405,2022-05-06 15:22:36,622497ab6c,"Whisper Choice Ultra Sanitary Pads - With Disposal Bags , XL, 6 Pads",35.75,12,1,104806,429
120405,2022-05-06 15:22:36,6107c98154,Duracell AAA Battery 6U,31.35,6,1,104806,188.1
120405,2022-05-06 15:22:36,60686eeef8,Dermi Cool Prickly Heat Powder 150g + Dettol Cool Menthol 125g Free,96.32,6,1,104806,577.92
133944,2022-05-17 13:06:06,610574c68b,Dettol Intense Cool Soap Bar 4U X 75g,121.5,24,2,80415,5832
133944,2022-05-17 13:06:06,60c49b50a6,Parle Assorted Candies 195g  (Mango Bite + Orange Bite),35,24,1,80415,840
133944,2022-05-17 13:06:06,627b77616d,Lifebuoy Silver Shield Soap 4U X 75g,55.3,36,1,80415,1990.8
158870,2022-06-16 20:59:07,60ded00a45,Vaseline Healthy Bright Daily Brightening Body Lotion 100ml,95,24,5,3818,11400
158870,2022-06-16 20:59:07,60dece183e,Vaseline Total Moisture Aloe Fresh Body Lotion 100ml,95,24,5,3818,11400
158870,2022-06-16 20:59:07,6171aa9f4a,Lux International Creamy Perfection Mega Pack 4U X 125g,234.75,18,1,3818,4225.5
158870,2022-06-16 20:59:07,62035966a7,Pond's Bright Beauty Spot less Fairness SPF 15 PA ++ Serum Cream 35g,105.61,18,4,3818,7603.92
158870,2022-06-16 20:59:07,60f1319034,Pond's Bright Beauty Spotless Glow Cream 23g,67.08,24,3,3818,4829.76
126204,2022-05-07 18:36:10,619f2e47e1,Clinic Plus Strong & Long Sachet 960U X 6ml,714,1,10,28741,7140
149599,2022-06-04 23:39:28,61e1ab7cb2,Colgate MaxFresh Cooling Crystals Toothpaste 300g,124.89,24,1,105491,2997.36
